term,notes
dragomanno generalizio,(dragoman attached to the governor general in Dalmatia)
dragomanno grande,"(Grand Dragoman, highest rank of dragomans in Venetian service in Istanbul)"
dragomanno ordinario,"(""default"" dragoman in bailate, ie not protogero/da strada/grande)"
dragomanno protogero,"(Dragoman in charge of naval affairs (releasing merchandise from customs, assisting Venetian merchants in negotiating with Ottoman Port Authorities); de facto lower rung than da strada)"
dragomanno publico,"(Public Dragoman in Venice, employed by the Venetian Cinque Savi alla Mercantia (the Board of Trade) to assist Ottoman and Safavid merchants in their business dealings in Venice, to translate chancery documents from Ottoman Turkish, and to interpret during official visits of Ottoman and Safavid dignitaries)"
dragomanno soprannumerario,"(Found in eighteenth century (e.g. Francesco Brutti's petition, 1762, see Lucchetta 1993: 216); evidently denotes a position above and beyond the quota of dragomanni ordinarii)"
duca,
elçi,
emin,
emino,
emir-i alem,
emval naziri,
erbab,
eunuco,
eunuco bianco,
eunuco nero,(see also: Chislar Agà)
garib,
gazi,
gentiluomo inviato,
gianizzero,Use for: gianizaro; gianizero; gianizzaro 
giovane di lingua,Use for: GdL = Giovane di lingua; giovine di lingua; giovane della lingua; giovine della lingua (Apprentice dragoman)
giudice,
giuridico,
gran giardiniere,
guardarobba de' Serragli,
guardian,
guardian grande,
habbaz,
haham,(rabbi)
hakim,
halife,(deputy; deputy minister/secretary)
haraçlı,
harbend,
harem ağası,
haseki,
has oda başı,
hekim,
hekim başı,
helvaci,
hoca,
hospodar,"(voyvoda, viceroy, ruler (mainly of one of the tributary states of the Ottomans, e.g. Moldavia, Wallachia))"
hünkar imamı,
iç oğlan,
ibrikdar,
ihtiyar,
imam,
imperatore,Use for: imperator 
inquisitore,Use for: inquisitor 
intendente,
interprete,"Use for: Interprete a Candia; Interprete al servizio del sultano; interprete alla cancelleria ducale; interprete della Cancelleria criminal; Interprete della lingua et scrittura turcha; Interprete della lingua Greca e Turca; Interprete della lingua Greca et Italiana nella Cefalonia; Interprete della lingua Greca et Italiana nella Ceffalonia; Interprete della lingua Greca et turchesca; Interprete della lingua Greca in Cefalonia; Interprete della lingua Hebraica; interprete della lingua Hebraica nella nostra lingua vuolgare; Interprete della lingua Schiava; Interprete della lingua Serviana; Interprete della lingua Turca
interprete della lingua turca, et in altre occasioni di publico servitio; Interprete di Monovasia "
inviato,
Inviato per confini,(from Person and ArchivalObject -Pedani)
iş er,
iş erbabı,
kadi,
kadiasker,Use for: kazasker 
kahya,
kalafatcı,
kalim,
kapı ağası,
kapıkahya,(voyvoda's agent at the Porte. See Philliou 2011: 146)
kapıcı,
kapıcı başı,Use for: kapucubasi 
kapıcılar ağası,
kapıcılar kethüdası,
kapudan paşa,Use for: Kapudan-ı Derya 
kasap,
kassam,
katip,
kaymakam,
kazasker,
kehhal başı,
kehhal,
kethüda,
kiaya,
kilerci,
kisedar,
kızlar ağası,
konsolos,Use for: konsolu; konsulu 
korucu,
kullar ağası,
kumbaracı,
kumbaracı başı,
kürekçi,
lağımcı,
lale,Use for: sultan hocası 
legato,
lettor,
levend,
luogotenente,
maestro di Giovani di lingua,(see also: coggia)
matarangi,Use for: mataragi 
matbah-ı amire emini,
medico,
medico condotto,
medico straordinario,
mehter,
mehter başı,
mektupçu,
mimar,
ministro,
mirahur,
miralay,
miralem,
mirliva,
molla,
mora tercümanı,(dragoman of the Morea; position reserved to Phanariots; see Philliou 2011)
mumcu,
müderris,
müezzin-i hassa,
müfettiş,
müfti,Use for: müftü 
muhafaz,Use for: muhafiz 
muhaseb,Use for: muhasebeci; muhasib 
muhassıl,
muhtesib,
muhzır,
muhzır ağası,
mültezim,
münakid,Use for: mün'akid 
müneccim,
müneccim başı,
müsellim,
mutasarrif,
müteferrika,
mütevelli,(trustee)
müvekkil,
naip,Use for: naib (regent; appointee)
naipo,(clerk;magistrate's assistant; notary; secretary)
nalband,
nazır,Use for: nazir 
nefer,
nefer ağası,
negoziatore,
nişancı,
nodaro,Use for: notaio; nodario (notary)
nodaro straordinario,Use for: notaio estraordinario; nodario estraordinario; notaio straordinario; nodario straordinario; nodaro estraordinario 
nombardier,
ocak imamı,
oda başı,
orator,
paggio,(page)
palafreniere,
papaz,
paşa,
patrona,
peyk,
podestà,(Venetian patrician governor sent to colonial towns throughout the state )
pontefice,
portaliçe,Use for: portalitire (Ottoman rendering of Venetian portalettere)
presidente,
primo dragomanno,
primo visir,Use for: primo vesir; gran visir 
procurator,
protogero,
protogero della scalla,
provveditore,
provveditore dell'armata,Use for: provveditore dell’armata in Golfo 
provveditore generale,(governor)
ragionato,Use for: raggionato 
rais,
rais effendi,
reis,((naval) captain; head; chief; governor general)
reisülkütab,
residente,
rettore,(colonial governor)
rikabdar,
riyale,
ruhban,
sadr-ı azam,Use for: sadrazam 
sa'i,Use for: sai 
saki,
şagird,
şair,
sanatkar,
sancakbey,
sangiaco,Use for: sanzaco; sanzacco 
şarabdar,
saraç,
saray ağası,
şatır,
savio,Use for: sauio 
scrivano,
segretario,
şehr emini,
sekban,
sekban ağası,
sekban başı,
seksoncu,Use for: samsoncu 
şemigeran-ı hassa,
serdar,
sertabib,
servitor,"(servant, footman (eg in bailate))"
şeyhülislam,
sırkatibi,
şikar ağası,
silahdar,
silahdar ağası,
silahdar başı,
sindico,(syndic; colonial inspector)
sipahi,Use for: spahi 
sipahi bölük ağası,
sipahi oğlan,
sipahi oğlanlar ağası,
solak,
sopraintendente,
sopraintendente generale,
spizier,
staffier,
subasci,
subaşı,
sultan,
sultano,
tabib,
talimhaneci,
tay ağası,
taycı,
tefterdar,(Venetian for defterdar)
tefterdar grande,(see also: Tesoriero Maggiore)
tercüman,
tercüman-ı ordu-yu hümayun,(dragoman of the imperial army)
terzi,
teschiereli bassì,
tesoriero,
tesoriero maggiore,(see also: tefterdar grande)
tezkireci,
tezkireci başı,
timar,
topçu,
topçu başı,
tüfenkçi,
tülbend gulamı,Use for: tülbent oğlanı 
tulumbacı,
tuna kaptanı,
turnacı,
ufficiale,
ulufeci,
vak'anüvis,
vali,
veli,
vekilharç,
vescovo,
vezir,
vezir-i azam,Use for: vezirazam; veziriazam 
vicario,
vicebailo,
viceconsole,(vice consul)
vicedomino,Use for: visdomino (central civil servant in Istrian towns; government appointee at an institution (e.g. Fondaco dei tedeschi))
visir,
voivoda,Use for: voyvoda; vaivoda; vayvoda 
voynuk,
yasakçı,
yaya,
yaya başı,
yeniçeri,Use for: yeniceri 
yeniçeri ağası,
yeniçeri kethüdası,
yeniçeri serdarları,
yeniçeri yoldaşları,
yundcu,
zabit,
zenberekçi,
