person_id, event_id, person_name, event_title, event_type, description, start_date, start_date_text, start_date_type, end_date, end_date_text, end_date_type, place, agency, position, notes
Person_011,Event0028,"Arimondo, Alvise","Arimondo, Alvise Commission",Commission,commission,1510-12-28,12/28/1510,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SS, reg. 43, cc. 165v-166v."
Person_013,Event0029,"Armadani, Manoli","Armadani, Manoli Birth",Birth,Birth,,,,,,,Thessalonica,,,,
Person_013,Event0030,"Armadani, Manoli","Armadani, Manoli employment; death",employment; death,"L'anderà parte, che al pred.o Manoli Armandani le sia data carica di servire d'interprete nel Regno di Candia et le siano assignati ducati cinque al mese Venetiani per suo salario, dovendo stare all'obb.a del Prov.r n'ro General nel med.mo Regno, et servire in quell'altro, che fosse commandato.died 1640. ",1640-01-01,1640,,,,,,,,,
Person_013,Event0031,"Armadani, Manoli","Armadani, Manoli employment",employment,,,,,1640-01-01,1640,Gregorian,,,,,
Person_013,Event0032,"Armadani, Manoli","Armadani, Manoli employment",employment,"Si è impiegato Manoli Armadani da Salonichi nel Regno di Candia per interprete della lingua turca, et in altre occasioni di publico servitio con piena sodisfatione de publici Rappresentanti, et sicome si vede in particolare dalla resposta del dilettissimo Nob. Nos' francesco Morosini ritornato di Prov.r General in q.to Regno. et stimandolo atto i render ogni altro servitio.",,,,,,,,,,,
Person_014,Event0033,"Ascanio Giustinian, Girolamo","Ascanio Giustinian, Girolamo Commission",Commission,commission,1766-07-26,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SC, reg. 50, a. 1766, cc. 58v-63v."
Person_016,Event0034,"Ausonio, Giulio","Ausonio, Giulio Birth",Birth,Birth,,,,,,,Gallipoli,,,,date questionable
Person_016,Event0035,"Ausonio, Giulio","Ausonio, Giulio death; travel",death; travel,dies en route to the Morea to work as apprentice dragoman there,1609-01-01,1609,Gregorian,,,,,,,,
Person_016,Event0036,"Ausonio, Giulio","Ausonio, Giulio employment end",employment end,,1609-01-01,1609,Gregorian,,,,,,,,
Person_017,Event0037,"Badoer, Alvise","Badoer, Alvise Commission",Commission,Il segretario Giovanni Negri ebbe la commissione il 1 dicembre 1540,1540-12-01,1 dicembre 1540,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SS, reg. 61, cc. 57v-58v."
Person_017,Event0038,"Badoer, Alvise","Badoer, Alvise Commission",Commission,commission,1539-12-20,20 dicembre 1539,Gregorian,1540-01-07,7 gennaio 1540,AV,,,,,"Archivio di Stato di Venezia, SS, reg. 60, cc. 90-91, 96v-98."
Person_018,Event0039,"Badoer, Andrea","Badoer, Andrea Commission",Commission,commission,1573-06-09,9 giugno 1573,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SC, reg. 4, cc. 36-39v."
Person_019,Event0040,"Balbi, Domenico","Balbi, Domenico Commission",Commission,commission,1459-07-28,7/28/1459,Gregorian,,,,,,,,"Archivio di Stato di Venezia, S Mar, reg. 6, c. 139; Thiriet, Sénat, III, n. 3088."
Person_020,Event0041,"Balsarini, Carlo","Balsarini, Carlo Birth",Birth,Birth,,,,,,,Scio,,,,
Person_020,Event0042,"Balsarini, Carlo","Balsarini, Carlo employment end",employment end,,,,,1643-01-01,1643,Gregorian,,,,,
Person_021,Event0043,"Balsarini, Domenico","Balsarini, Domenico Appointment",Appointment,Appointment,1685-07-23,,Gregorian,,,,,,,,
Person_021,Event0044,"Balsarini, Domenico","Balsarini, Domenico Birth",Birth,Birth,,,,,,,Scio,,,,
Person_021,Event0045,"Balsarini, Domenico","Balsarini, Domenico Death",Death,,1689-07-16,,Gregorian,,,,,,,,
Person_021,Event0046,"Balsarini, Domenico","Balsarini, Domenico employment",employment,,,,,1689-01-01,1689,Gregorian,,,,,
Person_022,Event0047,"Balsarini, Giacomo","Balsarini, Giacomo Birth",Birth,Birth,,,,,,,Scio,,,,
Person_022,Event0048,"Balsarini, Giacomo","Balsarini, Giacomo Salary",Salary,annual salary 109 zecchini,1654-01-01,1654,Gregorian,,,,,,,,
Person_023,Event0049,"Barbarigo, Antonio","Barbarigo, Antonio Commission",Commission,commission,1556-09-19,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SS, reg. 70, cc. 32-35v."
Person_024,Event0050,"Barbarigo, Daniele","Barbarigo, Daniele Commission",Commission,commission,1562-05-02,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SC, reg. 2, cc. 46v-50."
Person_025,Event0051,"Barbarigo, Nicolò","Barbarigo, Nicolò Commission",Commission,commission,1577-09-05,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SC, reg. 4, cc. 57-61."
Person_027,Event0052,"Barbaro, Marcantonio","Barbaro, Marcantonio Commission",Commission,commission,1568-08-12,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SC, reg. 3, cc. 112v-115v."
Person_028,Event0053,"Battista Donà, Giovanni","Battista Donà, Giovanni Commission",Commission,commission,1680-10-30,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SC, reg. 34, cc. 167-174."
Person_028,Event0054,"Battista Donà, Giovanni","Battista Donà, Giovanni Commission",Commission,commission,1680-10-30,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SC, reg. 34, cc. 167-174."
Person_030,Event0055,"Bembo, Leonardo","Bembo, Leonardo Departure from Venice",Departure from Venice, ordine di partenza da Venezia,1515-09-18,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SS, reg. 46, cc. 134v-135."
Person_030,Event0056,"Bembo, Leonardo","Bembo, Leonardo Commission",Commission,commission,15/02/1516,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SS, reg. 47, cc. 11v-12v."
Person_030,Event0057,"Bembo, Leonardo","Bembo, Leonardo departure from Venice",departure from Venice,ordine di partenza da Venezia,1515-09-18,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SS, reg. 46, cc. 134v-135."
Person_032,Event0058,"Bernardo, Francesco","Bernardo, Francesco ",,,22/04/1591,22 aprile 1591,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SC, reg. 8, cc. 32v-33v."
Person_033,Event0059,"Bernardo, Lorenzo","Bernardo, Lorenzo Commission",Commission,commission,1585-03-28,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SC, reg. 7, cc. 2v-7v."
Person_033,Event0060,"Bernardo, Lorenzo","Bernardo, Lorenzo Commission",Commission,commission,1591-04-22,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SC, reg. 8, cc. 32v-33v."
Person_033,Event0061,"Bernardo, Lorenzo","Bernardo, Lorenzo Commission",Commission,commission,1585-03-28,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SC, reg. 7, cc. 2v-7v."
Person_033,Event0062,"Bernardo, Lorenzo","Bernardo, Lorenzo election",election,"Inviato con il titolo di nobile, sostituì e rinviò a Venezia in catene il bailo Lippomano, accusato di tradimento.",1591-04-20,,Gregorian,,,,,,,,"Gradenigo, c. 220v. "
Person_034,Event0063,"Boglizza, Nicola","Boglizza, Nicola Birth",Birth,Birth,,,,,,,Budua,,,,
Person_034,Event0064,"Boglizza, Nicola","Boglizza, Nicola employment end",employment end,,,,,1577-03-04,pre 1577-03-04,Gregorian,,,,,
Person_037,Event0065,"Bon, Andrea","Bon, Andrea ",,?,1641-01-01,1641,Gregorian,,,,,,,,
Person_037,Event0066,"Bon, Andrea","Bon, Andrea Appointment",Appointment,Appointment,1627-01-01,1627,Gregorian,,,,,,,,
Person_037,Event0067,"Bon, Andrea","Bon, Andrea appointment",appointment,appointment,1630-01-01,1630,Gregorian,,,,,,,,
Person_037,Event0068,"Bon, Andrea","Bon, Andrea Appointment",Appointment,Appointment,1647-01-01,1647,Gregorian,,,,,,,,
Person_037,Event0069,"Bon, Andrea","Bon, Andrea Birth",Birth,Birth,,,,,,,Istanbul,,,,
Person_037,Event0070,"Bon, Andrea","Bon, Andrea departure from Istanbul; employment; salary",departure from Istanbul; employment; salary,"1636: appointed dragoman, addition of 12 ducats a month, + expenses for servant",1636-01-01,1636,Gregorian,,,,,,,,
Person_037,Event0071,"Bon, Andrea","Bon, Andrea employment",employment,,,,,1649-01-01,1649,Gregorian,,,,,
Person_037,Event0072,"Bon, Andrea","Bon, Andrea Mission",Mission,1643: supposed to go to Jersualem to help custodians [Franciscans? translate some Turkish documents,1643-01-01,1643,Gregorian,,,,,,,,
Person_037,Event0073,"Bon, Andrea","Bon, Andrea Petition",Petition,"In servitio della Ser.tà V'ra, e dell'EE VV Ill.me quanto indefissamente in impieghi io Andrea Bon humiliss.mo suo servo e Dragomano, molto lungo sarei nell'anoverare le mie moltiplici fattiche accompagnate da fedeltà e Zelo, mentre suplendo alla giornata all'offitio mio d'interprete in voce, et in scrittura, e viaggiando in ogni occorrenza presto prontam.te il mio total impiego in quella guisa che sarà stato alle volte rappresantato con lettere in publico, e che può esser attestato da gli Ecc.mi Ss.ri Baili, siche per farmi honore in via meritevole cerco continuatam.te d'indagar, e scruttinar quanto più posso quello che può concernere al publico scopo procurando di contraher, e conservar amicitie con qualificati soggetti di questa Porta; ma non potendosi tali fruttuose fattiche coltivare, non men che comparire come si conviene honoratamente avanti questi Ministri, senza considerabil dispendio, massime nell'abbassamento p'nte delle monette à che non potendo soccomber la stretta mia fortuna supplico perciò sommissam.te la Ser.tà V'ra, e l'EE. VV Ill.me soccorrermi, et aggratiarmi coll'augumento delli cento cechini all'anno, e le spese delle perme, come ad'altri miei simili Dragomani è stato impartito, e concesso à fine che tanto più francamente incomber possa nel laborioso mio ministerio, senza riguardo à pericoli della vita stessa quando occori in publico servitio. Grat'e",1644-02-18,,,,,,,,,,
Person_037,Event0074,"Bon, Andrea","Bon, Andrea Promotion",Promotion,1643: Grillo's favorite to become his successor,1643-01-01,1643,Gregorian,,,,,,,,
Person_037,Event0075,"Bon, Andrea","Bon, Andrea Salary",Salary,"1641: dragoman, annual salary: 118 zecchini + 80 zecchini as raise, servant & 4 outfits",1641-01-01,1641,Gregorian,,,,,,,,
Person_038,Event0076,"Bon, Ottaviano","Bon, Ottaviano Commission",Commission,commission,1604-08-10,,Gregorian,,,,,,,,"Archivio di Stato di Venezia, SC, reg. 10, cc. 43v-48."
Person_039,Event0077,"Bonà, Christoforo di","Bonà, Christoforo di Birth",Birth,Birth,,,,,,,Aleppo; Ragusa,,,,
Person_039,Event0078,"Bonà, Christoforo di","Bonà, Christoforo di employment",employment,,,,,1641-01-01,pre1641,Gregorian,,,,,
Person_040,Event0079,"Bonà, Gio: Maria","Bonà, Gio: Maria Birth",Birth,Birth,,,,,,,Aleppo; Ragusa,,,,
Person_040,Event0080,"Bonà, Gio: Maria","Bonà, Gio: Maria employment end",employment end,,1641-01-01,pre/post1641/1629,Gregorian,1629-01-01,pre/post1641/1629,Gregorian,,,,,
Person_040,Event0081,"Bonà, Gio: Maria","Bonà, Gio: Maria employment end",employment end,,1641/1629,pre/post1641/1629,Gregorian,,,,,,,,
Person_040,Event0082,"Bonà, Gio: Maria","Bonà, Gio: Maria Petition",Petition,"L'anno 1629 4 Sett.re [9/4/1629 Il q.m Gio: Maria Bonà Dragomano Veneto prestò con molta prontezza al Nob. H. sr Agostin da Mula in Aleppo Reali 1541 aspri 30 con obligo di pagarli in termine di tre mesi. Successe poco doppo la morte di d.o Gio: Maria, et anco la partenza di là di detto M.mo Mula; Non hanno tralasciato gli Commissarij di d.o Bona di scriver, e far scritture al d.o N. H. sr Agostin più, e più volte p[er la sodisfattione di q.sto credito, ma però tutti gli uffici, e tutti le insanze sono riuscite vane; et le povere figliuole di esso q.m Gio: Maria, che sono al numero di sei, et la lor madre si ritrovano in stato poverissimo, e destituto da ogni humano aiuto nella Turchia, e senza speranza di esser in qualche modo collocate, e solo vivono frà sospiri, e lagrime,et hanno creato legitimo procuratore mr Aslan Armeno p[er comparire avanti li benignissimi piedi della Ser.tà V. p[er supplicarla, come hora fò p[er l'amor di Dio à ommiserare la egistà di esse povere figliuole, che Christianamente vivendo in quei paesi turcheschi, nati da un padre fideliss.o e divotiss.o servo della Ser.tà V'ra, che hà servito p[er lo spatio di più di 30 anni p[er Dragomano gl' Ill.mi Consoli di Suria, con tanta fedeltà, come è ben noto, meritano di esser abbracciati dalla Publica protettione, e carità, p[erche ritrovino in questa Religiosiss.a Città il modo di esser reintegrate dal d.o N. H. sr Agostin da Mulà delli detti R.li 1541 @ [aspri 30 sudori del loro padre, e che dovevano servire p[er sostentamento, e delle vite, e delle honore delle sue figliuole. Ser.mo Prencipe è grandezza porger benigna mano alle famiglie cadenti, è religion.? porle [tuorle? dall'inopia, e miserie; Nella Publica maestà, e misericordia sperano le afflitti figliuole di ricever sollievo, contro la potenza del loro debitore, anco con la speranza delli meriti sopradetti del lor padre, che godeva pure dalla ser.tà V'ra il titolo di fideliss.o servo con buona provisione, et anche delli meriti del q.m Cristofero di Bona padre di esso Gio: Maria, che similm.te serv"" per Dragomano per più di 40 anni la Ser.tà V'ra in Soria. Gr'e.",1629-09-04,,Gregorian,,,,,,,,
Person_041,Event0083,"Boneti, Francesco","Boneti, Francesco ",,?,1581-04-24,1581,Gregorian,,,,,,,,
Person_041,Event0084,"Boneti, Francesco","Boneti, Francesco employment end",employment end,,,,,1580-01-01,pre1580,,,,,,
Person_046,Event0085,"Borisi, Francesca","Borisi, Francesca Birth of Child",Birth of Child,Birth of Child,1623-01-01,1623 Approximate,Gregorian,,,,,,,,
Person_046,Event0086,"Borisi, Francesca","Borisi, Francesca Birth of Child",Birth of Child,Birth of Child,1623-01-01,1623 Approximate,Gregorian,,,,,,,,
Person_050,Event0087,"Borisi, Marc'antonio ","Borisi, Marc'antonio  appointment",appointment,appointment,1585-01-01,1585,Gregorian,,,,,,,,
Person_050,Event0088,"Borisi, Marc'antonio ","Borisi, Marc'antonio  Birth",Birth,Birth,,,,,,,Istria; Bar (Montenegro),,,,
Person_050,Event0089,"Borisi, Marc'antonio ","Borisi, Marc'antonio  death",death,"4/19/1620: already deceased, Olivier Olivieri & Tomaso Zaneti appointed by Christoforo Brutti as Commessi of his children ",1620-04-19,4/19/1620,Gregorian,,,,,,,,
Person_050,Event0090,"Borisi, Marc'antonio ","Borisi, Marc'antonio  employment end",employment end,,,,,1904-06-07,1620,Gregorian,,,,,
Person_050,Event0091,"Borisi, Marc'antonio ","Borisi, Marc'antonio  Petition",Petition,"primo fra i sudditi di San Marco, tenne l'ufficio di dragomanno grande alla Porta, si lasciò strozzare sulla soglia del Divano dopo aver sostenuto con animo intrepido il diritto ed il decoro della patria, chiudendo cos"" eroicamente una carriera durata ben trentasei anni.' [Caprin, L'Istria nobilissima, 2nd vol, p. 217, n. 2; cited in Paladino 1917: 184n. cf. Senate's letter to bailo Almoro Nani regarding Borisi's recent death on 3/20/1621: Senato, Deliberazioni Costantinopoli, R. 13, cc. 1r-4r.",1904-06-08,post 1621,Gregorian,,,,,,,,
Person_050,Event0092,"Borisi, Marc'antonio ","Borisi, Marc'antonio  promotion",promotion,4/26/1603: promoted to Dragoman Grande,1603-04-26,4/26/1603,Gregorian,,,,,,,,
Person_050,Event0093,"Borisi, Marc'antonio ","Borisi, Marc'antonio  raise",raise,"1592: monthly stipend of 12 silver ducats, cottimo revenue, in addition to annual 50 ducats",1592-01-01,1592,Gregorian,,,,,,,,
Person_050,Event0094,"Borisi, Marc'antonio ","Borisi, Marc'antonio  reprimand",reprimand,1596 reprimanded by bailo Marino Grimani @ love affair,1596-01-01,1592,Gregorian,,,,,,,,
Person_050,Event0095,"Borisi, Marc'antonio ","Borisi, Marc'antonio  appraisal",appraisal,"1601: Senate in letter to bailo Nani confirms great satisfaction w Borisi's performance, loyalty",1601-01-01,1601,Gregorian,,,,,,,,
Person_050,Event0096,"Borisi, Marc'antonio ","Borisi, Marc'antonio  privileges",privileges,"8/13/1601: granted berat for customs-free importation of 10 tons of velvet and 10 tons of satin. reaffirmed in 1612 [Ecnebi defterleri 13, fol. 47, #460",1601-08-13,8/13/1601,Gregorian,,,,,,,,
Person_050,Event0097,"Borisi, Marc'antonio ","Borisi, Marc'antonio  Petition",Petition,"ca. June 1608: petitions Porte against illegal tax on grapes & wine from Girid. Petition granted [Ecnebi defteri, 13, fol. 28, #241",1608-06-01,ca. June 1608,Gregorian,,,,,,,,
Person_050,Event0098,"Borisi, Marc'antonio ","Borisi, Marc'antonio  litigation",litigation,"ca. July 1608: hüccet issued by Porte affirming Alessandra, Borisi's wife's title to land claimed by waqf -- land belonged to her family [i.e. Piron for centuries. [Ecnebi defteri, 13, fol. 28, #244. case unresolved ca. 9/18/1609: Alessandra still harassed by m¸tevelli [trustee of waqf about her house in Galata, even though h¸ccet affirmed it has been in her family for a century [Ecnebi defteri, 13, fol. 34, #313",1608-07-01,ca. July 1608,Gregorian,,,,,,,,
Person_050,Event0099,"Borisi, Marc'antonio ","Borisi, Marc'antonio  bonus",bonus,1609: gvt grants annual stipend of 100 gold ceccini for 5 daughters to be brought up in Capodistria and free father for worrying about them after death of [first wife,1609-01-01,1609,Gregorian,,,,,,,,
Person_050,Event0100,"Borisi, Marc'antonio ","Borisi, Marc'antonio  ",,"ca. 3/27/1612: facilitates transfer of Venetian family (father, mother, 2 young daughters) captured in Ottoman lands and released by sultanic order back to hands of bailo [Ecnebi defterleri 13, fol. 44, #424",1612-03-27,ca. 3/27/1612,Gregorian,,,,,,,,
Person_050,Event0101,"Borisi, Marc'antonio ","Borisi, Marc'antonio  litigation",litigation,"late May/early June 1612: tries to recover debt of 14000 akce from sipahi named Sarayl˝ Hasan [Ecnebi defterleri 13, fol. 45, #445",1612-06-01,late May/early June 1612,Gregorian,,,,,,,,
Person_050,Event0102,"Borisi, Marc'antonio ","Borisi, Marc'antonio  litigation",litigation,"5/13/1613: conflict w dervish @ alleged conversion of B's sister's 13-year old son (Cristoforo Brutti?), entrusted to his care for instruction in Islam, reading and writing. [Ecnebi defterleri 13, fol. 51, #509",1613-05-13,5/13/1613,Gregorian,,,,,,,,
Person_050,Event0103,"Borisi, Marc'antonio ","Borisi, Marc'antonio  salary",salary,"6/13/1615: pension of 12 zecchini a month for life, heritable by future son or current daughters",1615-06-13,6/13/1615,Gregorian,,,,,,,,
Person_050,Event0104,"Borisi, Marc'antonio ","Borisi, Marc'antonio  salary",salary,"pension of 12 zecchini a month for life, heritable by future son or current daughters [but never realized, according to petition by daughters on 12/7/1649. see Luca 2008: 144",1649-12-07,12/7/1649,Gregorian,,,,,,,,
Person_050,Event0105,"Borisi, Marc'antonio ","Borisi, Marc'antonio  salary",salary,"1609: concession of 100 cechini a year to the five daughters of Grand Dragoman Borisi, widower, so he can send them to be educated in Capo d'Istria and focus on his job",1609-01-01,1609,Gregorian,,,,,,,,
Person_050,Event0106,"Borisi, Marc'antonio ","Borisi, Marc'antonio  appraisal",appraisal,"1612: 'Vostra Serenità nel primo luogo de' suoi dragomanni tiene Messer Marc' Antonio Borisi. Della fede, della bontà, del valore di questo onorato soggetto restano già da gran tempo informate l'Eccellenze Vostre, pure, avendolo io sperimentato con gran servizio loro, posso assicurarle che nell'offizio suo non può desiderarsi d'avvantaggio, soddisfacendo a tutte le parti sue in modo che siccome dagli altri ambasciatori viene grandemente invidiato un cos"" buon servitore nella casa di Vostra Serenità, cos"" i Turchi per l'accortezza del suo termine volentieri ce ne vedrebbero privi. Merita pertanto l'amore di Vostra Serenità che, nel confirmarlo nella sua ottima disposizione di ben servire, impiegherà certo sempre con grave vantaggio del servizio suo ogni favore nella persona di lui.'",1612-01-01,1612,Gregorian,,,,,,,,
Person_050,Event0107,"Borisi, Marc'antonio ","Borisi, Marc'antonio  reprimand",reprimand,"1596: had an affair w/ Muslim woman while in Istanbul, w risk 'di far succedere di quei importanti travagli, et disturbi, che suol causare il mescolarsi con Donna Turca.' Senate instructs bailo to reprimand him, give him second chance. Deliberazioni Costantinopoli, R. 2, c. 42.",1596-01-01,1596,Gregorian,,,,,,,,
Person_050,Event0108,"Borisi, Marc'antonio ","Borisi, Marc'antonio  appraisal",appraisal,"1592: 20-22 yrs old, in addition to linguistic precociousness, 'ha bellissima maniera, modestia e destrezza grande nel trattare'
",1592-01-01,1592,Gregorian,,,,,,,,
Person_054,Event0109,"Borisi, Pietro","Borisi, Pietro employment",employment,GdL 1625,1904-06-12,,Gregorian,,,,,,,,
Person_054,Event0110,"Borisi, Pietro","Borisi, Pietro marriage",marriage,marries Maria Verzi in 1634,1904-06-21,,,,,,,,,,
Person_054,Event0111,"Borisi, Pietro","Borisi, Pietro employment",employment,GdL 1625,1904-06-12,,,,,,,,,,
Person_055,Event0112,"Borisi, Pietro II","Borisi, Pietro II Birth",Birth,Birth,1904-06-04,,Gregorian,,,,Istria,,,,
Person_055,Event0113,"Borisi, Pietro II","Borisi, Pietro II employment end",employment end,,1904-07-11,1654,Gregorian,,,,,,,,
Person_055,Event0114,"Borisi, Pietro II","Borisi, Pietro II marriage",marriage,1634: marries Maria Verzi,1634-01-01,1634,Gregorian,,,,,,,,
Person_055,Event0115,"Borisi, Pietro II","Borisi, Pietro II raise",raise,1654: annual salary of 36 2/3 zecchini,1654-01-01,1654,Gregorian,,,,,,,,
