person_id,title,given_name,family_name,name_parts,alt_family_names,alt_given_names,alt_name_parts,professions,gender,nations,languages,positions,events,related_people,notes
Person_027,"Barbaro, Marcantonio",Marcantonio,Barbaro,,,,,,Male,,,Position024,Event0052,,"Dispacci: Archivio di Stato di Venezia, SDC, f. 3, nn. 32, 35-65 (20 settembre 1568-26 febbraio 1569); f. 4, nn. 1-57 (12 March 1569-21 febbraio 1570); f. 5, nn. 1-125 (8 March 1570-27 febbraio 1572); f. 6E-A7, nn. 1-15 (21 novembre 1572-28 febbraio 1573); f. 6, nn. 1-10, 12, 14-33, 35-36, 38-44, 46-61 (7 March 1573-26 febbraio 1574); f. 7, nn. 1-12 (14 March -3 maggio 1574); SAPC, reg. 6, cc. 40-395v (copiario, 11 settembre 1568-3 maggio 1574). Dispacci del segretario Alvise Bonrizzo: Archivio di Stato di Venezia, SDC, f. 4, n. 58 (25 febbraio 1570). * Relazione: Archivio di Stato di Venezia, CR, b. 4; b. 5 (2 copie); b. 88 n. 4; Albéri, Le relazioni, III/1, pp. 299-346. Relazione del segretario Alvise Bonrizzo: Archivio di Stato di Venezia, CR, b. 4 (2 copie); b. 1 reg. 2 cc. 130-141; Pedani, Relazioni inedite, pp. 133-158. Seconda relazione: Archivio di Stato di Venezia, CR, b. 4; b. 5; Albéri, Appendice, pp. 387-415. Di persone al seguito di Marcantonio Barbaro, in Archivio di Stato di Venezia, CR, b. 4 si conservano anche un anonimo diario della prigionia durante la guerra di Cipro e una serie di “Notizie da Costantinopoli” di Aurelio Santa Croce; Pedani, Relazioni inedite, pp. 159-176, 177-192."
Person_028,"Battista Donà, Giovanni",Giovanni,Battista Donà,,,,,,Male,,,Position025,"Event0053, Event0054",,"Dispacci: Archivio di Stato di Venezia, SDC, f. 162, nn. 1-57; 16a, 35a, 57a-d (9 aprile 1681-23 March 1684).* Relazione: Barozzi-Berchet, Le relazioni, I/2, pp. 287-351; Firpo, Relazioni, XIII, pp. 1073-1137."
Person_029,"Bembo, Giovanni",Giovanni,Bembo,,,,,Provveditore dell'armata,Male,,,Position026,"Event0053, Event0054",,
Person_030,"Bembo, Leonardo",Leonardo,Bembo,,,,,,Male,,,Position027,"Event0055, Event0056, Event0057",,
Person_031,"Bembo, Pietro",Pietro,Bembo,,,,,,Male,,,Position028,"Event0055, Event0056, Event0057",,"Dispacci: Archivio di Stato di Venezia, SDC, f. 1A, nn. 1a-20a (16 gennaio 1484-9 febbraio 1485)."
Person_032,"Bernardo, Francesco",Francesco,Bernardo,,,,,,Male,,,Position029,Event0058,,
Person_033,"Bernardo, Lorenzo",Lorenzo,Bernardo,,,,,,Male,,,"Position030, Position031","Event0059, Event0060, Event0061, Event0062",,"Dispacci: Archivio di Stato di Venezia, SDC, f. 21, nn. 12, 17, 20, 30-43, 45-67 (9 aprile-30 agosto 1585); f. 22, nn. 1-53 (1 settembre 1585-19 febbraio 1586); f. 23, nn. 1-65 (3 March -30 agosto 1586); f. 24, nn. 1-46 (1 settembre 1586-23 febbraio 1587); f. 25, nn. 1-61 (1 March -20 agosto 1587); f. 26, nn. 1-7, 11-13, 17-19, 21-24, 26-32, 35, 48 (1 settembre-24 dicembre 1587). Dispacci: Archivio di Stato di Venezia, SDC, f. 33, nn. 15-16, 18-19, 21, 31-56 (1 maggio-24 agosto 1591); f. 34, nn. 1-24, 26-27, 29-30, 32-35, 37-39, 41-43, 45-51 (7 settembre 1591-4 febbraio 1592); f. 35, n. 13 (2 aprile 1592). * Relazione: Archivio di Stato di Venezia, CR, b. 4 (mutila); BAV, Codici Barberini latini, n. 5.522; Pedani, Relazioni inedite, pp. 311-394. Relazione: Archivio di Stato di Venezia, CR, b. 4; Albéri, Le relazioni, III/2, pp. 321-426; Firpo, Relazioni, XIII, pp. 59-166. Sul resoconto del viaggio, scritto dal segretario Gabriele Cavazza (1591): Viaggio a Costantinopoli di sier Lorenzo Bernardo per l’arresto del bailo sier Girolamo Lippomano Cav. 1591 aprile, a cura di F. Stefani, Venezia 1886 (Monumenti storici publicati dalla R. Deputazione Veneta di Storia Patria, s. IV, Miscellanea, IV); Viaggio di un ambasciatore veneziano da Venezia a Costantinopoli nel 1591, Venezia 1886 (nozze Giacomelli-Barozzi); Firpo, Relazioni, pp. 167-242. Dispacci: Archivio di Stato di Venezia, SDC, f. 33, nn. 15-16, 18-19, 21, 31-56 (1 maggio-24 agosto 1591); f. 34, nn. 1-24, 26-27, 29-30, 32-35, 37-39, 41-43, 45-51 (7 settembre 1591-4 febbraio 1592); f. 35, n. 13 (2 aprile 1592).* Relazione: Archivio di Stato di Venezia, CR, b. 4; Albéri, Le relazioni, III/2, pp. 321-426; Firpo, Relazioni, XIII, pp. 59-166. Sul resoconto del viaggio, scritto dal segretario Gabriele Cavazza (1591): Viaggio a Costantinopoli di sier Lorenzo Bernardo per l’arresto del bailo sier Girolamo Lippomano Cav. 1591 aprile, a cura di F. Stefani, Venezia 1886 (Monumenti storici publicati dalla R. Deputazione Veneta di Storia Patria, s. IV, Miscellanea, IV); Viaggio di un ambasciatore veneziano da Venezia a Costantinopoli nel 1591, Venezia 1886 (nozze Giacomelli-Barozzi); Firpo, Relazioni, pp. 167-242."
Person_034,"Boglizza, Nicola",Boglizza,Nicola,,Boglizza;Bolizza,Nicola;Nicolà;Nicolò;Nicolo;Nicollo,,Dragoman,Male,,Serbian,Position032,"Event0063, Event0064",,
Person_035,"Boldù, Leonardo",Leonardo,Boldù,,,,,,Male,,,Position033,"Event0063, Event0064",,
Person_036,"Bollani, Domenico",Domenico,Bollani,,,,,,Male,,,Position034,"Event0063, Event0064",,
Person_037,"Bon, Andrea",Bon,Andrea,,Bon;Bono;Boni;Bonni;Bonà,Andrea,,Dragoman,Male,Christiana di Pera;Veneziana';,Turkish;Greek;Russian? ('Moscova'),Position035,"Event0065, Event0066, Event0067, Event0068, Event0069, Event0070, Event0071, Event0072, Event0073, Event0074, Event0075","PersonPerson0014, PersonPerson0015",father was Venetian subject
Person_038,"Bon, Ottaviano",Ottaviano,Bon,,,,,,Male,,,Position036,Event0076,,"Dispacci: Archivio di Stato di Venezia, SDC, f. 60, nn. 1, 4-5, 7, 9-22, 25-34 (16 settembre 1604-28 febbraio 1605); f. 61, nn. 1-28 (6 March -23 agosto 1605); f. 62, nn. 1-31 (10 settembre 1605-22 febbraio 1606); f. 63, nn. 1-54 (14 March 1606-26 febbraio 1607); f. 64, nn. 1-26 (13 March -20 agosto 1607); f. 65, nn. 1-26 (4 settembre 1607-15 febbraio 1608); f. 66, nn. 1-31, 34-35, 38-39, 41-48, 50-51,54-55, 59-60 (4 March 1608-20 febbraio 1609); f. 67, nn. 4, 7 (14 March -6 aprile 1609); SAPC, n. 10 (copiario, 30 gennaio 1605-15 febbraio 1608). * Relazione: Archivio di Stato di Venezia, CR, b. 5; Pedani, Relazioni inedite, pp. 475-523. Descrizione del Serraglio: A. Bacchi della Lega, Viaggio a Costantinopoli di Tommaso Alberti 1609-1621, Bologna 1899, pp. 60 e segg. ( recte O. Bon); G. Berchet, Il serraglio del Gransignore descritto da O. Bon, bailo veneto a Costantinopoli nell’anno 1608, Venezia 1865; Descrizione del Serraglio e Massime fondamentali del governo ottomano: Barozzi-Berchet, Le relazioni, I/1, pp. 59-124; Firpo, Relazioni, XIII, pp. 407-472."
Person_039,"Bonà, Christoforo di",Bonà,Christoforo di,de,Bonà;Bona;Bon;Bono;Boni;Bonni;di Bonà;di Bona;di Bon;di Bono;di Boni;di Bonni,Christoforo;Cristoforo;Christofero;Cristofero;Christofforo;Cristofforo;Christoffero;Cristoffero;Cristophoro;Christophoro;Christophero;Cristophero,de';da,Dragoman,Male,,Arabic,Position037,"Event0077, Event0078",PersonPerson0016,served for 40 years as a Dragoman; see Veinstein 2003: 32
Person_040,"Bonà, Gio: Maria",Bonà,Gio: Maria,,Bonà;Bona;Bon;Bono;Boni;Bonni;di Bonà;di Bona;di Bon;di Bono;di Boni;di Bonni,Gio: Maria;Giovanni Maria;Zuan Maria;Zuanne Maria;Giovan Maria;Zovan Maria;G.M.;Gian Maria;Gianni Maria,,Dragoman,Male,,Arabic,Position038,"Event0079, Event0080, Event0081, Event0082","PersonPerson0017, PersonPerson0018",served for 30 years - Veinstein 2003
Person_041,"Boneti, Francesco",Boneti,Francesco,,Bonetti;Benetti;Beneti;Benneti;Bennetti;Bonnetti,Francesco;Fran.o,,Dragoman,Male,,Greek,Position039,"Event0083, Event0084",,Eufe 2003: 28
Person_042,Borisi Cecilia,,Borisi Cecilia,,,,,,Female,,,,"Event0083, Event0084",,
Person_043,"Borisi, Alessandra",Alessandra,Borisi,,,,,,Female,,,,"Event0083, Event0084",,
Person_044,"Borisi, Bernardo",Bernardo,Borisi,,,,,,Male,,,,"Event0083, Event0084",,
Person_045,"Borisi, Cecilia",Cecilia,Borisi,,,,,,Female,,,,"Event0083, Event0084","PersonPerson0019, PersonPerson0020",
Person_046,"Borisi, Francesca",Francesca,Borisi,,,,,,Female,,,,"Event0085, Event0086","PersonPerson0021, PersonPerson0022, PersonPerson0023, PersonPerson0024, PersonPerson0025",
Person_047,"Borisi, Francesco",Francesco,Borisi,,,,,,Male,,,,"Event0085, Event0086",,
Person_048,"Borisi, Franeschina",Franeschina,Borisi,,,,,,Female,,,,"Event0085, Event0086",PersonPerson0026,
Person_049,"Borisi, Giacoma",Giacoma,Borisi,,,,,,Female,,,,"Event0085, Event0086",,
Person_050,"Borisi, Marc'antonio ",Borisi,Marc'antonio ,,Borisi;Borissi,Marc'Antonio;Marcantonio;Marc Antonio;M.Antonio;Antonio;Marc A.o,,Dragoman,Male,Albanese;Istriana;,Italian;Vlach;Albanian;Greek;Slavic;Persian;Arabic;Turkish,Position040,"Event0087, Event0088, Event0089, Event0090, Event0091, Event0092, Event0093, Event0094, Event0095, Event0096, Event0097, Event0098, Event0099, Event0100, Event0101, Event0102, Event0103, Event0104, Event0105, Event0106, Event0107, Event0108","PersonPerson0027, PersonPerson0028, PersonPerson0029, PersonPerson0030, PersonPerson0031, PersonPerson0032, PersonPerson0033, PersonPerson0034, PersonPerson0035, PersonPerson0036","Marković 2005; Luca 2008; Pippidi 2006 Language Notes:1592: 'Parla benissimo turco; la lingua schiava e l'italiana si puo dire che siano tutte due sue naturali: la greca anco l' ha fatta sua famigliare, e tutte queste lingue le legge e scrive bene'"
Person_051,"Borisi, Maria",Maria,Borisi,,,,,,Female,,,,"Event0087, Event0088, Event0089, Event0090, Event0091, Event0092, Event0093, Event0094, Event0095, Event0096, Event0097, Event0098, Event0099, Event0100, Event0101, Event0102, Event0103, Event0104, Event0105, Event0106, Event0107, Event0108",,
Person_052,"Borisi, Marin",Marin,Borisi,,,,,,Male,,,,"Event0087, Event0088, Event0089, Event0090, Event0091, Event0092, Event0093, Event0094, Event0095, Event0096, Event0097, Event0098, Event0099, Event0100, Event0101, Event0102, Event0103, Event0104, Event0105, Event0106, Event0107, Event0108",,
Person_053,"Borisi, Piero",Piero,Borisi,,,,,,Male,,,,"Event0087, Event0088, Event0089, Event0090, Event0091, Event0092, Event0093, Event0094, Event0095, Event0096, Event0097, Event0098, Event0099, Event0100, Event0101, Event0102, Event0103, Event0104, Event0105, Event0106, Event0107, Event0108",,
Person_054,"Borisi, Pietro",Pietro,Borisi,,,,,,Male,,,,"Event0109, Event0110, Event0111",,
Person_055,"Borisi, Pietro II",Borisi,Pietro II,II,Borisi;Borissi,Pietro;Petro,,Dragoman,Male,Albanese;Istriana;,Turkish,"Position041, Position042, Position043","Event0112, Event0113, Event0114, Event0115, Event0116, Event0117","PersonPerson0037, PersonPerson0038, PersonPerson0039, PersonPerson0040, PersonPerson0041, PersonPerson0042, PersonPerson0043, PersonPerson0044, PersonPerson0045, PersonPerson0046",Marković 2005; Luca 2008; Pippidi 2006. 5 half-sisters
Person_056,"Borisi, Smeralda",Smeralda,Borisi,,,,,,Female,,,,"Event0112, Event0113, Event0114, Event0115, Event0116, Event0117",,
Person_057,"Borisi, Sultana",Sultana,Borisi,,,,,,Female,,,,"Event0112, Event0113, Event0114, Event0115, Event0116, Event0117",,
Person_058,"Bragadin, Giacomo",Giacomo,Bragadin,,,,,,Male,,,Position044,"Event0112, Event0113, Event0114, Event0115, Event0116, Event0117",,
Person_059,"Bragadin, Pietro",Pietro,Bragadin,,,,,,Male,,,Position045,"Event0112, Event0113, Event0114, Event0115, Event0116, Event0117",,"Dispacci: Archivio di Stato di Venezia, SAPC, f. 2, nn. 1-45 (25 maggio-6 dicembre 1524). * Relazione: Sanudo, I diarii, XLI, coll. 525-534 (sommario); Albéri, Le relazioni, III/3, pp. 99-112 (da Sanudo)."
Person_060,"Bragadin, Vettore",Vettore,Bragadin,,,,,,Male,,,Position046,Event0118,,"Dispacci: Archivio di Stato di Venezia, SDC, f. 4D, nn. 92-104, 106-111, 113-132 (13 July 1564-15 March 1565); f. 1, nn. 1-17, 19-22, 25-26, 30, 32, 45-52 (12 March 1565-17 agosto 1566)."
Person_061,"Britanico, Simon",Britanico,Simon,,Britanico;Britannico;Britanici;Britannici,Simon;Simone,,Dragoman,Male,,Slavic,Position047,Event0119,,
Person_062,"Britanico, Zuane",Britanico,Zuane,,Britanico;Britannico;Britanici;Britannici,Zuanne;Giovanni;Gio:;Zuane;Zuan;Giovan;Zovan;Gian;Gianni,,Dragoman,Male,,Slavic,Position048,"Event0120, Event0121",PersonPerson0047,
Person_063,"Bruni, Maria",Maria,Bruni,,,,,,Female,,,,"Event0120, Event0121",,
Person_064,"Brutti, Antonio",Antonio,Brutti,,,,,,Male,,,,"Event0120, Event0121",,
Person_065,"Brutti, Barnabà [Bernardo]",Brutti,Barnabà [Bernardo,,Brutti;Brutti;Baruti;Baruta;Barutti,Barnabà;Barnaba;Bernardo,,Dragoman,Male,Istriana,Turkish;Slavic;Albanian,"Position049, Position050","Event0122, Event0123, Event0124, Event0125, Event0126, Event0127, Event0128, Event0129, Event0130","PersonPerson0048, PersonPerson0049",Luca 2008; Pippidi 2006 Language Notes:Turkish; Slavic; Albanian
Person_066,"Brutti, Bartolomeo (I)",Brutti,Bartolomeo (I),I,Brutti;Brutti;Baruti;Baruta;Barutti,Bartolomeo;Barto;Borto;Bertolomeo;Bortolomeol Bartholomeo,,Dragoman,Male,Istriana,Turkish,Position051,"Event0131, Event0132, Event0133, Event0134, Event0135, Event0136, Event0137, Event0138, Event0139, Event0140, Event0141","PersonPerson0050, PersonPerson0051, PersonPerson0052, PersonPerson0053, PersonPerson0054, PersonPerson0055, PersonPerson0056, PersonPerson0057, PersonPerson0058, PersonPerson0059, PersonPerson0060, PersonPerson0061", Sanchez Padilla et al 2005: 24; Luca 2008; Pippidi 2006; Pippidi 1980: 138 Language Notes:Venturini 1904: 376: in petition to be sent to Istanbul as GdL 1573 claimed to know Slavic and Albanian and to have studied Latin & Greek at school in Venice
Person_067,"Brutti, Bartolomeo (II)",Brutti,Bartolomeo (II),II,Brutti;Brutti;Baruti;Baruta;Barutti,Bartolomeo;Barto;Borto;Bertolomeo;Bortolomeol Bartholomeo,,Dragoman,Male,Albanese;Istriana;,Turkish,"Position052, Position053","Event0142, Event0143, Event0144, Event0145, Event0146","PersonPerson0062, PersonPerson0063",Luca 2008: 111-2; Pippidi 2006
Person_068,"Brutti, Bartolomeo (III)",Brutti,Bartolomeo (III),III,Brutti;Brutti;Baruti;Baruta;Barutti,Bartolomeo;Barto;Borto;Bertolomeo;Bortolomeol Bartholomeo,,Dragoman,Male,Istriana,Turkish,"Position054, Position055","Event0147, Event0148, Event0149",,Luca 2008; Pippidi 2006
Person_069,"Brutti, Benedetto",Benedetto,Brutti,,,,,,Male,,,,"Event0147, Event0148, Event0149",,
Person_070,"Brutti, Cecilia",Cecilia,Brutti,,,,,,Female,,,,"Event0147, Event0148, Event0149",,
Person_071,"Brutti, Christoforo (I)",Brutti,Christoforo (I),I,Brutti;Brutti;Baruti;Baruta;Barutti,Christoforo;Cristoforo;Christofero;Cristofero;Christofforo;Cristofforo;Christoffero;Cristoffero;Cristophoro;Christophoro;Christophero;Cristophero,,Dragoman,Male,Istriana,Turkish;Slavic?;Greek?;Italian?;Albanian?,Position056,"Event0150, Event0151, Event0152, Event0153, Event0154, Event0155, Event0156, Event0157, Event0158, Event0159, Event0160","PersonPerson0064, PersonPerson0065","Luca 2008; Pippidi 2006 Language Notes:1592: 'ha buonissima lingua turca, greca, italiana, schiava, bogdana ed albanese'"
Person_072,"Brutti, Christoforo (II)",Brutti,Christoforo (II),II,Brutti;Brutti;Baruti;Baruta;Barutti,Christoforo;Cristoforo;Christofero;Cristofero;Christofforo;Cristofforo;Christoffero;Cristoffero;Cristophoro;Christophoro;Christophero;Cristophero,,Dragoman,Male,Istriana,Turkish,Position057,"Event0161, Event0162, Event0163, Event0164, Event0165, Event0166, Event0167, Event0168, Event0169","PersonPerson0066, PersonPerson0067, PersonPerson0068, PersonPerson0069, PersonPerson0070, PersonPerson0071, PersonPerson0072, PersonPerson0073, PersonPerson0074, PersonPerson0075, PersonPerson0076, PersonPerson0077",Luca 2008; Pippidi 2006
Person_073,"Brutti, Christoforo (III)",Brutti,Christoforo (III),III,Brutti;Brutti;Baruti;Baruta;Barutti,Christoforo;Cristoforo;Christofero;Cristofero;Christofforo;Cristofforo;Christoffero;Cristoffero;Cristophoro;Christophoro;Christophero;Cristophero,,Dragoman,Male,Istriana,Turkish;Arabic;Persian;Greek,"Position058, Position059","Event0170, Event0171, Event0172, Event0173, Event0174, Event0175, Event0176, Event0177","PersonPerson0078, PersonPerson0079, PersonPerson0080, PersonPerson0081",Luca 2008; Pippidi 2006
Person_074,"Brutti, Christoforo (IV)",Brutti,Christoforo (IV),IV,Brutti;Brutti;Baruti;Baruta;Barutti,Christoforo;Cristoforo;Christofero;Cristofero;Christofforo;Cristofforo;Christoffero;Cristoffero;Cristophoro;Christophoro;Christophero;Cristophero,,Dragoman,Male,Istriana,Turkish,Position060,"Event0178, Event0179",PersonPerson0082,Luca 2008
Person_075,"Brutti, Despina",Despina,Brutti,,,,,,Female,,,,"Event0178, Event0179",,
Person_076,"Brutti, Giacoma",Giacoma,Brutti,,,,,,Female,,,,"Event0178, Event0179",,
Person_077,"Brutti, Giacomo",Giacomo,Brutti,,,,,,Male,,,,Event0180,,"[capitan, d. in late 1614/1616]"
Person_078,"Brutti, Ilarietta",Ilarietta,Brutti,,,,,,Female,,,,Event0180,,
Person_079,"Brutti, Marco",Marco,Brutti,,,,,,Male,,,,Event0181,,d. 1571
Person_080,"Brutti, Pasqual",Pasqual,Brutti,,,,,,Male,,,,Event0181,,
Person_081,"Cambil [Cambini, Nicolò",Cambil [Cambini,Nicolò,,Cambil;Cambi;Cambin;Cambini;Cambili,Nicola;Nicolà;Nicolò;Nicolo;Nicollo,,Dragoman,Male,Dalmata,Turkish;Slavic,Position061,"Event0182, Event0183, Event0184, Event0185",, Luca 2003: 168-171
Person_082,"Capello, Laura",Laura,Capello,,,,,,Female,,,,"Event0182, Event0183, Event0184, Event0185",,
Person_083,"Cappello, Francesco",Francesco,Cappello,,,,,,Male,,,Position062,Event0186,,
Person_084,"Cappello, Giovanni",Giovanni,Cappello,,,,,Provveditore dell’armata in Golfo,Male,,,Position063,"Event0187, Event0188, Event0189, Event0190",,
