document_id,title,page,languages,english_summary,transcription,transliteration,date,date_text,date_type,places,topics,agencies,related_objects,notes,related_people,related_document,genre
Carte_Turche_100,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  25 - 26",25 - 26,Ottoman,"Mektub sent by the Grandvizier, Mehmed PaÙa to the Doge of Venice regarding an island that is claimed by Dubrovnik (Ragusa) and Venice. The Porte received the news from the bailo in €¡stanbul that Venice would return the island to Ragusa. Doge is also informed about the border issues around the Venetian fortress of Zadra in Bosnia.",,Vezir-i ‰Û÷azam Mehmed PaÙa taraf€±ndan Venedik Doju‰Ûªna €¡ftiharu‰Ûªl-Ì_mera‰Û÷i‰Ûªl-izami‰Ûªl-i seviyye muhtarÌ_‰Ûªl-kÌ_bera‰Û÷ il-fiham fi millet‰Ûªi-l Mesihiyye muslihu mesalihi cemahiri‰Ûªt-tayifeti‰Ûªn Nasraniyye sahib-Ì_ ezyali‰Ûªl-haÙmeti ve‰Ûªl-vakar sahibu dareyni‰Ûªl-mecdi ve‰Ûªl-iftihar Venedik Doju hutimet ‰Û÷avak-€± buhu bi‰Ûªl-hayr dostlu€Ùa lay€±k ve Ùan€±na muvafsa olan selamlardan sonra muhabbane ‰Û÷ilam olunan budur ki hala asitane-i saadetimde mukim olan k€±dvetÌ_‰Ûªl-umera-i milleti‰Ûªl-Mesihiyye Otavyan Bon nam balyosun bu canibe gelÌ_b DubrovniklÌ_nÌ_n ada hususunda kemal-i r€±za ve tedbirinÌ_ze bianen hala zikr olunan aday-€± sa‰Û÷adetlÌ_ ve ‰Û÷azametlÌ_ padiÙah€±m€±z hazretlerinin ri‰Û÷ayet-i hatr-€± Ùerifleri iÌ¤Ì_n gerÌ_ Dubrovnik beylerine zudd-u teslim etmesine tazmim ve niyet eyledÌ_€ÙÌ_nÌ_zÌ_ ‰Û÷ilam ve iÙ‰Û÷ar iylemiÙ ol Ùartla mÌ_Ùarileyhim Dubrovnik beyleri cenab€±n€±za kendÌ_ temessÌ_kleri ile ikrar eyleyeler kimin ba‰Û÷ad geÌ¤en macera iÌ¤Ì_n ada halk€±ndan bir ferdi vechen min al-vucuh rencide iylemeyÌ_b cÌ_mlesini afv- Ì_ ‰Û÷am eyleyÌ_b mÌ_tekaddemden nevechle istirahat-Ì_ zere cemile-i tekalifden mÌ_bteda olmuÙlar ise minba‰Û÷ad dahi murad eyledi€ÙinÌ_z Ì_zere ol vechle mÌ_bteda olas€±z ta ki bu sebeb ile ol ada f€±kras€± bir dahi baÙ kaldurmayub guluvv itme€Ùe mecbur olunma€Ù€±n kemal-i hal ile asude olalar imdi bu babda vufur-u basiret-i cemilenÌ_zden sad€±r olan hÌ_sn-Ì_ niyetÌ_nÌ_zÌ_ bu canibe riayet ol aday€± gerÌ_ Dubrovnik beylerine virme€Ùe raz€± oldu€Ùunuzdan gayet mahzuz oldu€Ùumuza binaen cenab€±n€±za tahsin-i feravan olmuÙdur vechle saadetlÌ_ padiÙah alempenah hazretlerinÌ_n halis ve mahlus dostlar€± oldu€Ùunuzu muhakkak ma‰Û÷lumunuzdur inÙallahu teala madem ki bu vechle kemal-i hulusetinÌ_zde sabit-kadem olas€±n bu tarafdan dahi dostlu€Ùa lay€±k olan vaz‰Û÷i mÌ_tahhid sad€±r olmadan hali olmaz ve bu sene serhadde va‰Û÷ki Zadra nam hisarunuzun kadim s€±nurlaru hususu Ì¤Ì_n mÌ_Ùarileyh balyosunun iram€±yla Kilis beyine hitaben mukid evamir-i Ùerif ve bu canibden mektub irsal olunmuÙ idi hala tekrar evamir-i Ùerif ve mektub yazulub muhkem tenbih olunmuÙdur ahdnamene mu€Ùayir bir va‰Û÷zi olundu€Ùun bir vechle r€±za-i padiÙahi olmadu€Ùun mulah€±z oluna ve mezbur balyosun her vechle rey ve tedbire kadir ve dostumuz olma€Ù€±n cemile va‰Û÷ki olan hususlar€±nda dostlu€Ùa lay€±k oldu€Ùu Ì_zere gÌ¦rÌ_lmektedir ta‰Û÷ammÌ_d yokdur ÙÌ¦yle mulahaza oluna tahriren fi evahir-i Ùehr-i zÌ_‰Ûªl-kadre sene selase ‰Û÷aÙar ve elf.,1605-04-15,Evahir-i ZÌ_lkadre 1013:Evahir,Hijri,Dubrovnik;Bosna;Zadra,border disputes,Kilis Sancakbeyi;Venedik balyosu;Venedik beyleri,ArchivalObject010, The original Related Person Notes read:(Mentioned)Otoviyan Bon (Bailo) -(Sender)Vezir-i Azam Mehmed PaÙa -,,,genredoc0011
Carte_Turche_101,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  27",27,Ottoman,Order sent to the sancakbeyi of Kilis upon the bailo's request regarding the border disputes along Kilis and Zadra. Some Muslim Ottoman subjects invaded Venetian lands that are attached to Zadra and Venice in line with the previous ahdname and agreements. Sancakbeyi is ordered to go to the border in person with Mustafa ÌàavuÙ from the Porte and men of the Venetians and investigate the issue. He is also ordered to prevent such oppressions to the Venetian subjectsand return the lands occupied by the Ottoman subjects.,,,1605-04-14,Evahir-i zÌ_lkadre 1013:Evahir,Hijri,KilisZadra,ahdname;border disputes,Kilis Beyi;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Mentioned)Otoviyan Bon -(Sender)Porte -,,,genredoc0012
Carte_Turche_102,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  28",28,Ottoman,"Order sent to the mutasarr€±f of Hersek and kad€± of Nova upon the bailo's request regarding oppression of the Venetian subjects in the fortress of Kotor and killing of a priest by two Ottoman subjects upon encouragement of the fortress agas of Nova (Yusuf, HÌ_seyin). Since these acts are against the ahdname and conditions of peace and could cause revolts in these borderlands, the Ottoman authorities are ordered to investigate the issueand punish those who are responsible.",,,1605-04-14,Evahir-i ZÌ_lkadre 1013:Evahir,Hijri,Herkes;Kotor,ahdname;border disputes,Hersek Sanca€Ù€±na Mutasarr€±f olan Mustafa;Nova Kad€±s€±;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Mentioned)Mustafa ÌàavuÙ -(Addressee)Nova Kad€±s€± -(Sender)Porte -,,,genredoc0013
Carte_Turche_103,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  29",29,Ottoman,"Order sent to the defterdar, kad€± and beylerbeyi of Haleb upon the request of the Venetian bailo regarding some Ottoman subjects and authorities (mutasarr€±f, Ì¤avuÙ) who are not allowing Venetian merchants to buy non-restricted goods claiming that there are orders for this end. Porte explains that there are no such orders and in line with ahdname and ancient laws, Venetians are allowed to buy non-restricted goods with their money. Ottoman authorities addressed are ordered to investigate and report such people to the Porte with their names and descriptions.",,,1605-05-04,Evas€±t-€± ZÌ_lhicce 1013:Evasit,Hijri,Haleb,ahdname;commercial disputes,Haleb Mutasarr€±f€±;Venedik balyosu,ArchivalObject010,"The decision of the Porte is given in the first line following the titles of the Ottoman authorities address ed . Related person data specifies a ""Yusuf"" - unclear who this is and needs review.  The original Related Person Notes read:(Addressee)Haleb beylerbeyi -(Addressee)(Mentioned)HÌ_seyin -Mehmed o€Ùlu Osman -(Mentioned)Osman o€Ùlu Mustafa -(Sender)Porte -",PersonDocumentRelation0002,,genredoc0014
Carte_Turche_104,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  30",30,Ottoman,"Order sent to the beylerbeyi, kad€± and defterdar of Haleb upon the bailo's request regarding the dispute between emins of the port who wanted Venetian merchants to bring their stuff to the port for customs. However, in line with the ahdname and previous imperial orders, merchants who come to purchase goods with their money and silver directly go to the house of bailo in Haleb. As such a request by the emins is against the ahdname, the bailo petitioned for their removal. The Ottoman officials are ordered to allow money and silver to be stored at the bailo's house but also to control the bailo's house in case there is anythig that is against the ahdname.",,,1605-05-04,Evas€±t-€± zÌ_lhicce 1013:Evasit,Hijri,Haleb,commercial disputes;ahdname;bailo's house,€¡skele Emini;Venedik balyosu,ArchivalObject010,The decision of the Porte is given in the first line following the titles of the Ottoman authorities address ed like the previous one. The original Related Person Notes read:(Addressee)(Addressee)(Sender)Porte -,"PersonDocumentRelation0003, PersonDocumentRelation0004",,genredoc0015
Carte_Turche_105,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  31",31,Ottoman,"Order sent to the beylerbeyi, kad€± and defterdar of Haleb upon the request of the bailo regarding fees and taxes for wine and grapes demanded from Venetian merchants at €¡skenderun and Haleb ports. As per ahdname and previous imperial orders, Venetian and European merchants are allowed to bring wine and arak for their own personal use from their own countries or from other places and their own personal wine and arak are not taxable. Ottoman authorities are ordered to prevent such actions.",,,1605-05-04,Evas€±t-€± Zilhicce 1013:Evasit,Hijri,Haleb€¡skenderun,commercial disputes;taxes;ahdname,€¡skele Eminleri;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Addressee)(Addressee)(Sender)Porte -,"PersonDocumentRelation0005, PersonDocumentRelation0006",,genredoc0016
Carte_Turche_106,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  32",32,Ottoman,"Order sent to the beylerbeyi of M€±s€±r upon the bailo's request regarding the dispute between an Ottoman subject, Mehmed, and the Venetian bailo in Egypt. Mehmed, who had been enslaved by warring corsairs and then freed, claimed that the previous Venetian bailo in Egypt, Cevan Kosto, guaranteed to cover his losses and went to the Porte to demand the mentioned losses from the new Venetian bailo in Egypt with documents. In the court attended by the Grandvizier Mehmed PaÙa, his case was dropped and a fetva was given indicating that the new Venetian bailo was not responsbile for his losses. However, Mehmed continued to oppress the bailo by showing some orders. The beylerbeyi of Egypt is ordered not to allow him to oppress the bailo. If Mehmed presents any orders from the Porte, the beylerbeyi is ordered to delay processing and contact Istanbul.",,,1605-05-23,Evail-i Muharrem 1014:Eva'il,Hijri,M€±s€±r;€¡stanbul,commercial disputes;ahdname;corsairs,M€±s€±r Beylerbeyi;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Sender)Porte -,,,genredoc0017
Carte_Turche_107,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  33",33,Ottoman,"Order sent to the beylerbeyi, sancakbeyi, and kad€±s of _am and Trablus upon the bailo's request regarding rights of the Venetian merchants doing business in the mentioned administrative districts. In accordance with the ahdname, Venetian merchants can settle, do business with their bailos, and travel in these districts. Ottoman authorities are ordered toprotect their lives and goods and never let anybody oppress or do any harm to these merchants. They are also ordered to report any person (s) oppressing them to the Porte with their names and description.",,,1605-05-23,Evail-i Muharrem 1014:Eva'il,Hijri,_am;Trablus,ahdname,_am Beylerbeyi;TrablusÙam Beylerbeyi;Beyleri;Kad€±lar€±;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Addressee)Beyleri -Cevan Kosto -(Mentioned)Dolor Viz -(Addressee)Kad€±lar€± -(Mentioned)Mehmed -(Sender)Porte -(Addressee)TrablusÙam Beylerbeyi -(Mentioned)Veziriazam Mehmed PaÙa -,,,genredoc0018
Carte_Turche_108,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  34",34,Ottoman,"Order sent to the beylerbeyi, kad€±, defterdar of Haleb upon the bailo's request regarding customs dues demanded from Venetian merchants. Although in line with ahdname, Venetian merhants are not required to pay customs fees, taxes for silver, guruÙ, and gold, emins of the port claimed that they are sending those to Iran and that they had orders to collect dues from Venetians. The Ottoman authorities, however, are ordered not to allow port emins to demand such fees . They are to postpone the procedures and refer to the Porte, if the emins present imperial orders on their behalf.",,,1605-05-23,Evail-i Muharrem 1014:Eva'il,Hijri,Haleb,taxes;ahdname,"Haleb Beylerbeyi,Haleb kad€±s€±;Haleb Defterdar€±;Venedik balyou",ArchivalObject010, The original Related Person Notes read:(Addressee)(Sender)Porte -,PersonDocumentRelation0007,,genredoc0019
Carte_Turche_109,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  35",35,Ottoman,"Order sent to the kad€± of NakÙe upon the bailo's request regarding a Venetian ship (barÌ¤a) which was attacked by some Spanish corsairs at the island of De€Ùirmenlik. While the corsairs captured goods, clothes and left, Ottoman subjects looted what is left inside the ship. The kad€± is ordered to find those stuff and return them to the Venetian consul. He is also ordered to report those evil doers to the Porte with their description.",,,1605-06-02,Evas€±t-€± Muharrem 1014:Evasit,Hijri,NakÙe;De€Ùirmenlik,corsairs,NakÙe Kad€±s€±;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Sender)Porte -,,,genredoc0020
Carte_Turche_11,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 330 Page  3",3,Ottoman,"Order sent to the sancaq bey, farm inspector and kad €± of Ankara upon the request of the Venetian Bailo in €¡stanbul regarding taxes for brokers (dellaliye) and for wine consumption (masdariyye) claimed from Venetian merchants doing business in Ankara. These taxes are not to be requested from Venetians in accordance with the ahdname .",,,1590-01-20,14 Rabi‰ÛªÌ_l-evvel 998,Hijri,Ankara,taxes,Ankara sancakbeyi;Ankara mukataat mÌ_fettiÙi;Ankara kad€±s€±;Venedik Balyosu,ArchivalObject009, The original Related Person Notes read:(Addressee)Ankara kad€±s€± -(Addressee)Ankara mukataat mÌ_fettiÙi -(Sender)Porte -,,,genredoc0021
Carte_Turche_110,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  36",36,Ottoman,"Order sent to the beylerbeyi, kad€± and defterdar of Haleb upon the request of the bailo regarding customs fees demanded from Venetian merchants. In line with the agreements, Venetian merchants pay their fees and receive a stamped temessÌ_k from the emin of the port in exchange. However, some merchants who already paid their fees and received temessÌ_k were demanded to pay again because their record of payment cannot be determined in spite of the fact that they had temessÌ_ks in their hands. The Ottoman authorities are ordered to prevent such double fee payments which is against the ahdname.",,,1605-05-23,Evail-i Muharrem 1014:Eva'il,Hijri,Haleb,taxes;ahdname,Haleb Beylerbeyi;Haleb Kad€±s€±;Haleb Defterdar€±;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Addressee)(Addressee)(Sender)Porte -,"PersonDocumentRelation0008, PersonDocumentRelation0009",,genredoc0022
Carte_Turche_111,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  37",37,Ottoman,"Order sent to the kad€± of €¡zmir upon the request of the bailo regarding the Venetians living in €¡zmir. They have been granted right to pray in their churches. However, some Ottoman subjects are oppressing them claiming that they have imperial orders in their hands. The kad€± is ordered to protect Venetians and not to allow anybodty oppress or interefere with their prayers and churches. He is also ordered to refer those people who claim to hold an order to the Porte.",,,1605-05-23,Evail-i Muharrem 1014:Eva'il,Hijri,€¡zmir,religious establishments;ahdname,€¡zmir Kad€±s€±;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Sender)Porte -,,,genredoc0023
Carte_Turche_112,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  46",46,Ottoman,"Order sent to the sancakbey and kad€± of Mora upon the request of the bailo regarding English corsairs capturing Venetian and Frech commercial ships, good, etc in the Mediterranean. Since their country is far away, they befriend local Ottoman administrators of fortresses along the seashore and on the islands, and sell those goods and stuff captured from Venetians and French. The document lists names of Ottoman subjects involved in corsair trade activities. The sancakbey andkad€± are ordered to investigate the issue, find those men and if what is reported is true they areto punish them to make an example for other Ottoman subjects.",,,1605-07-02,Evas€±t-€± Sefer 1014:Evasit,Hijri,Mora,corsairs,Mora Beyi;Mora Kad€±s€±;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Addressee)Mora Kad€±s€± -(Sender)Porte -,,,genredoc0024
Carte_Turche_113,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  48",48,Ottoman,"Order sent to the farm inspector and kad€± of Sak€±z (Chios) upon the bailo's request regarding some extra, illegal taxes including cizye demanded from Venetian subjects residing in the island.As such taxes are not permitted in line with ahdname, the kad€± is ordered to prevent local authorities from demanding such taxes from Venetian subjects.",,,1605-08-19,4 RebiÌ_lahir 1014,Hijri,Sak€±z,taxes;ahdname,Sak€±z mukataa mÌ_fettiÙi;Sak€±z Kad€±s€±;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Mentioned)Cezairli Memi -(Mentioned)Kurd Reis -(Mentioned)Manavzade Mehmed Reis -(Mentioned)OdabaÙ€± Perviz -Peltek Mehmed Reis -(Sender)Porte -(Addressee)(Mentioned)TopÌ¤ubaÙ€± Vezim o€Ùlu -,PersonDocumentRelation0010,,genredoc0025
Carte_Turche_114,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  53",53,Ottoman,"Order sent to the Vizier Hasan PaÙa regarding the Venetian bailo in Egypt whose term ended. As he is about to set out for Venice, no one should oppress him. The vizier is ordered to ensure his safety on his way.",,,1605-09-07,Evahir-i RebiÌ_lahir 1014:Evahir,Hijri,M€±s€±r,ahdname;safe conduct,M€±s€±r muhafazas€±nda olan Vezir Hasan PaÙa;Venedik beyleri;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Sender)Porte -,,,genredoc0026
Carte_Turche_115,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  54",54,Ottoman,Order sent with regards to the payment by the Venetian beys for the island of Zan(k)ise to the imperial treasury for the dates 1012-1013 (h.),,,1605-10-22,9 CemaziÌ_lahir 1014,Hijri,Zanise,ahdname,Venedik beyleri;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Mentioned)Dolfin Venier -(Sender)Porte -,,,genredoc0027
Carte_Turche_116,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  55",55,Ottoman,"Order sent to the beylerbeyi, kad€± and defterdar of K€±br€±s upon the bailo's request regarding local Ottoman authorities demanding higher prices from Venetian merchants. According to the ahdname, Venetian merchants pay the regular daily price for goods. However, some local officials including beylerbeyi and defterdar demand higher prices from Venetians. They are ordered to stop this and obey the rules of the ahdname.",,,1605-09-15,Evail-i CemaziÌ_levvel 1014:Eva'il,Hijri,K€±br,ahdname;commercial disputes,K€±br€±s Beylerbeyi;K€±br€±s Kad€±s€±;K€±br€±s Defterdar€±;Venedik balyosu;Venedik konsolosu,ArchivalObject010, The original Related Person Notes read:(Addressee)K€±br€±s Defterdar€± -(Addressee)K€±br€±s Kad€±s€± -(Mentioned)Otaviyan Bon -(Sender)Porte -,,,genredoc0028
Carte_Turche_117,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  56",56,Ottoman,"Order sent to the beylerbeyi, kad€±, and defterdar of K€±br€±s upon the request of the bailo in €¡stanbul regarding purchase of salt and cotton by Venetian merchants in Cyprus. Although there is a fixed price for those, Venetian merchants are demanded more. Authorities are ordered to prevent local authorities form charging more. If those local authorities claim to have orders from the Porte, they are to delay their appeal and refer the case to the Porte.",,,1605-07-30,Evas€±t-€± RebiÌ_levvel 1014:Evasit,Hijri,K€±br€±s,ahdname;commercial disputes,K€±br€±s Beylerbeyi;K€±br€±s Kad€±s€±;K€±br€±s Defterdar€±;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Addressee)K€±br€±s Defterdar€± -(Addressee)K€±br€±s Kad€±s€± -(Sender)Porte -,,,genredoc0029
Carte_Turche_118,"ASVe, Bailo a Costantinopoli, Carte turche, reg. 250, fasc. 331 Page  57",57,Ottoman,"Order sent to the sancakbey of Hersek upon the request of the bailo regarding corsair activities of the levends in the Venetian bay. Although there were orders to stop such activities that are against the ahdname, there are still some evil doers who sail in the Venetian bay with f€±rkatas and kay€±ks. Hersek bey is ordered to stop such people, never allow construction of f€±rkatas and kay€±ks, and to destroy already constructed ones.",,,1605-09-28,Evas€±t-€± CemaziÌ_levvel 1014:Evasit,Hijri,Hersek;Venedik,corsairs,Hersek Beyi;Venedik beyleri;Venedik balyosu,ArchivalObject010, The original Related Person Notes read:(Mentioned)Perviz -(Sender)Porte -,,,genredoc0030
